t,D_output
9566,0.6092269936815083
9567,0.6221545506229174
9568,0.6351089789921708
9569,0.64808944051647
9570,0.6610950063908141
9571,0.6741246545867242
9572,0.687177267201249
9573,0.7002516277092169
9574,0.7133464182660536
9575,0.7264602170220487
9576,0.7395914954986444
9577,0.7527386159197686
9578,0.765899828581675
9579,0.7790732692880641
9580,0.7922569568574742
9581,0.8054487906714797
9582,0.8186465482411732
9583,0.8318478829065941
9584,0.8450503216228479
9585,0.8582512628679609
9586,0.8714479745901894
9587,0.8846375923365284
9588,0.8978171175083411
9589,0.910983415785718
9590,0.9241332156785911
9591,0.9372631072790376
9592,0.950369541205003
9593,0.963448827735292
9594,0.9764971361895526
9595,0.9895104945412777
9596,1.0024847892803932
9597,1.0154157654971498
9598,1.0282990272914747
9599,1.041130038523556
9600,1.0539041238240998
9601,1.066616469897629
9602,1.0792621271284426
9603,1.0918360117588188
9604,1.1043329082674131
9605,1.1167474721517219
9606,1.1290742329532593
9607,1.1413075979704157
9608,1.1534418562210842
9609,1.165471182873601
9610,1.1773896441104001
9611,1.1891912024299247
9612,1.2008697223813822
9613,1.212418976556084
9614,1.2238326524010743
9615,1.235104359260377
9616,1.246227635856851
9617,1.2571959582688923
9618,1.2680027483720848
9619,1.2786413826552732
9620,1.2891052013529776
9621,1.2993875182385495
9622,1.3094816306581307
9623,1.3193808298783858
9624,1.3290784118836794
9625,1.3385676885314073
9626,1.3478419989394474
9627,1.3568947211120272
9628,1.3657192839585035
9629,1.3743091794378262
9630,1.3826579748675576
9631,1.3907593254194377
9632,1.3986069867236297
9633,1.4061948275236198
9634,1.4135168423705424
9635,1.4205671642690751
9636,1.4273400772716403
9637,1.433830029030687
9638,1.4400316430984819
9639,1.4459397310167983
9640,1.4515493042303618
9641,1.4568555857700722
9642,1.4618540213263809
9643,1.4665402900957705
9644,1.4709103153458298
9645,1.4749602742196017
9646,1.4786866070331763
9647,1.4820860261648274
9648,1.4851555244239576
9649,1.4878923823321069
9650,1.490294175024283
9651,1.4923587786384782
9652,1.4940843755616378
9653,1.4954694589794286
9654,1.4965128368268856
9655,1.4972136349940333
9656,1.497571299259626
9657,1.4975855967205345
9658,1.4972566165385786
9659,1.4965847694821237
9660,1.4955707867231938
9661,1.494215717911703
9662,1.4925209284720438
9663,1.490488095906315
9664,1.4881192053494734
9665,1.4854165443255973
9666,1.4823826968410962
9667,1.479020536781124
9668,1.4753332205545129
9669,1.4713241790714833
9670,1.4669971090292488
9671,1.4623559637576742
9672,1.4574049434770207
9673,1.4521484850496478
9674,1.446591251297079
9675,1.4407381198951064
9676,1.4345941718521436
9677,1.4281646798172019
9678,1.421455096013424
9679,1.4144710399722946
9680,1.4072182861716909
9681,1.3997027514418763
9682,1.3919304823573582
9683,1.3839076426430446
9684,1.3756405004878134
9685,1.3671354160045819
9686,1.3583988287786501
9687,1.3494372454675132
9688,1.3402572276897466
9689,1.3308653800703765
9690,1.3212683384749773
9691,1.3114727586175505
9692,1.3014853049015938
9693,1.291312639567548
9694,1.2809614122577753
9695,1.2704382498901288
9696,1.2597497469232377
9697,1.2489024560569562
9698,1.2379028793105753
9699,1.2267574595383621
9700,1.2154725723857103
9701,1.2040545186756932
9702,1.1925095172411906
9703,1.1808436982019663
9704,1.1690630966988351
9705,1.157173647055387
9706,1.1451811773864136
9707,1.1330914046635812
9708,1.1209099301757088
9709,1.1086422354315792
9710,1.096293678496013
9711,1.0838694906824637
9712,1.0713747736748869
9713,1.0588144970384774
9714,1.046193496052282
9715,1.033516469945625
9716,1.0207879804644873
9717,1.0080124507338264
9718,0.9951941644816549
9719,0.9823372655338285
9720,0.9694457575795776
9721,0.9565235042517573
9722,0.9435742294104548
9723,0.930601517667844
9724,0.917608815195417
9725,0.9045994306972065
9726,0.8915765365435016
9727,0.8785431701452594
9728,0.8655022354899626
9729,0.8524565047748042
9730,0.8394086202298313
9731,0.8263610960880223
9732,0.8133163206018905
9733,0.8002765582067961
9734,0.7872439517924957
9735,0.7742205250156331
9736,0.7612081846996185
9737,0.7482087233135097
9738,0.7352238214807754
9739,0.7222550505319623
9740,0.7093038751053988
9741,0.6963716557683551
9742,0.6834596516512773
9743,0.6705690231030499
9744,0.6577008343517251
9745,0.644856056160565
9746,0.6320355684824538
9747,0.6192401631014522
9748,0.6064705462622854
9749,0.5937273412787728
9750,0.5810110911142116
9751,0.5683222609424654
9752,0.5556612406765968
9753,0.5430283474572594
9754,0.5304238281133907
9755,0.5178478615859867
9756,0.5053005613034974
9757,0.4927819775189725
9758,0.4802920996119945
9759,0.46783085833572075
9760,0.4553981280169128
9761,0.44299372872793796
9762,0.4306174284007584
9763,0.4182689448778618
9764,0.40594794793655165
9765,0.3936540612735262
9766,0.3813868644268985
9767,0.3691458946396878
9768,0.35693064870908164
9769,0.3447405847756367
9770,0.33257512406030953
9771,0.3204336525522357
9772,0.3083155226832619
9773,0.296220054938188
9774,0.28414653941689255
9775,0.27209423737075705
9776,0.2600623827039622
9777,0.24805018342768648
9778,0.2360568230686669
9779,0.22408146206651064
9780,0.21212323912624642
9781,0.20018127253499723
9782,0.1882546614462168
9783,0.17634248715123949
9784,0.1644438143113837
9785,0.15255769216045809
9786,0.14068315569160483
9787,0.12881922682320052
9788,0.11696491553907677
9789,0.10511922100522897
9790,0.09328113268094441
9791,0.08144963140844716
9792,0.06962369048624169
9793,0.05780227673043624
9794,0.045984351534656284
9795,0.034168871914077324
9796,0.022354791542879462
9797,0.010541061775666313
9798,-0.0012733673097184081
9799,-0.013089545886065392
9800,-0.02490852334881047
9801,-0.03673134729153019
9802,-0.04855906246781937
9803,-0.06039270975001193
9804,-0.07223332508273281
9805,-0.08408193843034285
9806,-0.09593957271171309
9807,-0.10780724271580523
9808,-0.1196859540100113
9809,-0.13157670183145373
9810,-0.1434804699632378
9811,-0.15539822958339153
9812,-0.16733093809821337
9813,-0.17927953795180168
9814,-0.19124495541596825
9815,-0.20322809934554367
9816,-0.21522985990948348
9817,-0.2272511072933962
9818,-0.2392926903751847
9819,-0.2513554353639808
9820,-0.2634401444019919
9821,-0.27554759413585694
9822,-0.28767853425301904
9823,-0.29983368598386717
9824,-0.3120137405491776
9825,-0.32421935757900705
9826,-0.33645116348836396
9827,-0.3487097498217487
9828,-0.3609956715306031
9829,-0.37330944521837334
9830,-0.3856515473400053
9831,-0.39802241237021163
9832,-0.4104224309044755
9833,-0.42285194771217405
9834,-0.4353112597521387
9835,-0.4478006141485338
9836,-0.4603202061214642
9837,-0.472870176835268
9838,-0.48545061123012095
9839,-0.4980615358042339
9840,-0.5107029163763648
9841,-0.5233746557420483
9842,-0.5360765913243963
9843,-0.5488084927778829
9844,-0.5615700595882828
9845,-0.5743609185750511
9846,-0.5871806213721013
9847,-0.6000286418877405
9848,-0.6129043737580927
9849,-0.6258071277561229
9850,-0.6387361291298844
9851,-0.6516905149710932
9852,-0.6646693315666233
9853,-0.6776715317752515
